,Diesase_Name,overview,symptoms_elements,symptoms_paragraph
1463,Pseudobulbar affect,"Pseudobulbar affect (PBA) is a condition that's characterized by episodes of sudden uncontrollable and inappropriate laughing or crying. Pseudobulbar affect typically occurs in people with certain neurological conditions or injuries, which might affect the way the brain controls emotion.",StrokeAmyotrophic lateral sclerosis (ALS)Multiple sclerosis (MS)Traumatic brain injuryAlzheimer's diseaseParkinson's disease,"The primary sign of pseudobulbar affect (PBA) is frequent, involuntary and uncontrollable outbursts of crying or laughing that are exaggerated or not connected to your emotional state. Laughter often turns to tears. Your mood will appear normal between episodes, which can occur at any time. Crying appears to be a more common sign of PBA than laughing."
1464,Hypothyroidism (underactive thyroid),"Hypothyroidism happens when the thyroid gland doesn't make enough thyroid hormone. This condition also is called underactive thyroid. Hypothyroidism may not cause noticeable symptoms in its early stages. Over time, hypothyroidism that isn't treated can lead to other health problems, such as high cholesterol and heart problems.","Tiredness.More sensitivity to cold.Constipation.Dry skin.Weight gain.Puffy face.Hoarse voice.Coarse hair and skin.Muscle weakness.Muscle aches, tenderness and stiffness.Menstrual cycles that are heavier than usual or irregular.Thinning hair.Slowed heart rate, also called bradycardia.Depression.Memory problems.","The thyroid gland is located at the base of the neck, just below the Adam's apple."
1465,Bags under eyes,"Bags under eyes are mild swelling or puffiness under the eyes. They're common as you age and the tissues around your eyes weaken, including some of the muscles supporting your eyelids. Fat that helps support the eyes can then move into the lower eyelids, causing them to appear puffy. Fluid may also accumulate below your eyes.",Mild swellingSaggy or loose skinDark circles,Symptoms of bags under eyes can include:
1466,Undescended testicle,"A testicle that doesn't move down into its proper place in the scrotum before birth is called an undescended testicle. It's also known as cryptorchidism (krip-TOR-kih-diz-um). Most often, it's just one testicle that doesn't descend into the scrotum, which is the bag of skin that hangs below the penis. But sometimes both testicles are affected.","A retractile testicle,which moves back and forth between the scrotum and the groin. The testicle might be easily guided by hand into the scrotum during a physical exam. A retractile testicle is due to a muscle reflex in the scrotum.An ascending testicle,which has returned to the groin. The testicle can't be easily guided by hand into the scrotum. Another name for this is an acquired undescended testicle.",Not seeing or feeling a testicle in the scrotum is the main symptom of an undescended testicle.
1467,Undifferentiated pleomorphic sarcoma,"Undifferentiated pleomorphic sarcoma (UPS) is a rare type of cancer that begins mostly in the soft tissues of the body. Soft tissues connect, support and surround other body structures.","Growing lump or area of swellingIf it grows very large, there may be pain, tingling and numbnessIf it occurs in an arm or leg, there may be swelling in the hand or foot of an affected limbIf it occurs in the abdomen, there may be pain, loss of appetite and constipationFeverWeight loss","Undifferentiated pleomorphic sarcoma symptoms depend on where the cancer occurs. It most often happens in the arms and legs, but it can happen anywhere in the body."
1468,Indigestion,"The major organs in your digestive system are the liver, stomach, gallbladder, colon and small intestine.","Early fullness during a meal.You haven't eaten much of your meal, but you already feel full and may not be able to finish eating.Uncomfortable fullness after a meal.The feeling of fullness lasts longer than it should.Discomfort in the upper abdomen.You feel a mild to severe pain in the area between the bottom of your breastbone and your bellybutton.Burning in the upper abdomen.You feel an uncomfortable heat or burning sensation between the bottom of your breastbone and your bellybutton.Bloating in the upper abdomen.You feel an uncomfortable sensation of tightness in your upper abdomen.Nausea.You feel as if you want to vomit.","If you have indigestion, you may have:"
1469,Ureteral cancer,"Your urinary system includes the kidneys, ureters, bladder and urethra. The urinary system removes waste from the body through urine. The kidneys are located toward the back of the upper abdomen. They filter waste and fluid from the blood and produce urine. Urine moves from the kidneys through narrow tubes to the bladder. These tubes are called the ureters. The bladder stores urine until it's time to urinate. Urine leaves the body through another small tube called the urethra.",Blood in urineBack painPain when urinatingLosing weight without tryingFatigue,Signs and symptoms of ureteral cancer include:
1470,Ureteral obstruction,"Your urinary system includes the kidneys, ureters, bladder and urethra. The urinary system removes waste from the body through urine. The kidneys are located toward the back of the upper abdomen. They filter waste and fluid from the blood and produce urine. Urine moves from the kidneys through narrow tubes to the bladder. These tubes are called the ureters. The bladder stores urine until it's time to urinate. Urine leaves the body through another small tube called the urethra.",PainChanges in how much urine you produce (urine output)Difficulty urinatingBlood in the urineUrinary tract infectionsHigh blood pressure (hypertension),"Ureteral obstruction might have no signs or symptoms. Signs and symptoms depend on where the obstruction occurs, whether it's partial or complete, how quickly it develops, and whether it affects one or both kidneys."
1471,Urethral stricture,"A urethral (u-REE-thrul) stricture involves scarring that narrows the tube that carries urine out of your body (urethra). A stricture restricts the flow of urine from the bladder and can cause a variety of medical problems in the urinary tract, including inflammation or infection.","Decreased urine streamIncomplete bladder emptyingSpraying of the urine streamDifficulty, straining or pain when urinatingIncreased urge to urinate or more-frequent urinationUrinary tract infection",Signs and symptoms of urethral stricture include:
1472,Urinary incontinence,Urinary incontinence — the loss of bladder control — is a common and often embarrassing problem. The severity ranges from occasionally leaking urine when you cough or sneeze to having an urge to urinate that's so sudden and strong you don't get to a toilet in time.,"Stress incontinence.Urine leaks when you exert pressure on your bladder by coughing, sneezing, laughing, exercising or lifting something heavy.Urge incontinence.You have a sudden, intense urge to urinate followed by an involuntary loss of urine. You may need to urinate often, including throughout the night. Urge incontinence may be caused by a minor condition, such as infection, or a more severe condition such as a neurological disorder or diabetes.Overflow incontinence.You experience frequent or constant dribbling of urine due to a bladder that doesn't empty completely.Functional incontinence.A physical or mental impairment keeps you from making it to the toilet in time. For example, if you have severe arthritis, you may not be able to unbutton your pants quickly enough.Mixed incontinence.You experience more than one type of urinary incontinence — most often this refers to a combination of stress incontinence and urge incontinence.","Many people experience occasional, minor leaks of urine. Others may lose small to moderate amounts of urine more frequently."
